asin,sku,group,parent,child,est_cost_unit,pick_n_pack_fee
,U1-K1PR-N93U,,Can Opener,Stainless Can Opener,2.38,
,48-JT2Z-XFJ6,,Chocolate Eggs,Frozen Chocolate Eggs,2.31,
,B5-0ROP-233D,,Chocolate Eggs,Princess Chocolate Eggs,2.31,
,BF-MG8U-OWWI,,Chocolate Eggs,Spider Man Chocolate Eggs,2.31,
,MU-6BI2-VLJV,,Chocolate Eggs,Cars Chocolate Eggs,2.31,
B00Z8QWRAM,AX-HJ6W-YXN8,Copper Ant Guards,Copper Ant Guard,Copper Ant Guard-New,1.65,3.19
,9K-VHKT-CDJE,,Oven Mitt,Oven Mitt-Pink,5.02,
,3N-EYM5-NTCE,,Oven Mitt,Oven Mitt-???,5.02,
,B1-ZMBH-IIL5,,Oven MItt,Oven Mitt-Red,5.02,
,9K-VHKU-CDJE,,Oven Mitt,Oven Mitt-Orange,5.02,
,VP-LGOT-WH9P,,Oven Mitt,Oven Mitt-Green,5.02,
B00XWXMWW6,W4-GNMR-2X7O,Pet Mats,Pet Mat,Pet Mat-Black,3.17,2.99
B00XWXMWT4,HC-BC84-DIQ5,Pet Mats,Pet Mat,Pet Mat-Grey,3.17,2.99
B00XWXMWS0,BF-UT9F-OYJ4,Pet Mats,Pet Mat,Pet Mat-Red,3.17,2.41
B00YOCQ1IU,H5-S27B-ABDH,Pet Mats,Pet Mat,Pet Mat-Pink,3.17,
B00XWXMWXU,HC-BC83-DIQ5,Pet Mats,Pet Mat,Pet Mat-Blue,3.17,
B00XWXMWU8,FV-77HF-7DOE,Pet Mats,Pet Mat,Pet Mat-Green,3.17,
B01FH0X1V2,7L-JARR-GL6I,S-Hooks,S-Hook,S-Hook Qty 1,0.99,2.41
B00Z8QWRAM,5B-FPT4-XKWM,Copper Ant Guards,Copper Ant Guard,Copper Ant Guard-Used,1.65,
B01IAABY4W,92-7O0M-MSO8,Tiki Wicks,Tiki Wicks,Tiki Wick Set (12),2.44,2.41
B01KKI6QOK,RH-3JVO-3FHN,S-Hooks,S-Hook,S-Hook Qty 2,1.98,
B01KKI6QQ8,99-DB6U-SBEZ,S-Hook,S-Hook,S-Hook Qty 3,2.97,
B01F7X34U2,UK-AVWR-4MNQ,Zen Gardens,Zen Garden-001,Zen Garden 1,4.42,4.18
B01IFLR4K4,FR-WY40-O8H9,Walnut Knife Bars,Walnut Knife Bar,Walnut Knife Bar,8.64,
B01N5TVYVD,1I-A550-7LTL,Bamboo Salt Boxes,Bamboo Salt Box,Bamboo Salt Box,0.66,4.18
B00WW1H5FS,ZW-OAUA-9YZW,Toggle Bracelets,Toggle Bracelet,Black Large,2.31,2.99
,XV-Y3IQ-VMBL,Toggle Bracelets,Toggle Bracelet,Army Green Large,2.31,4.18
,8Z-1VQY-D9DW,Toggle Bracelets,Toggle Bracelet,Orange Small,2.31,2.41
,KU-IB05-LC8Z,Toggle Bracelets,Toggle Bracelet,Digital Small,2.31,2.41
,UG-1L9T-1MG5,Toggle Bracelets,Toggle Bracelet,Army Green + Coyote Small,2.31,2.41
,3H-PI6M-79YU,Toggle Bracelets,Toggle Bracelet,Orange Large,2.31,2.41
,IW-BVLK-Z4YO,Toggle Bracelets,Toggle Bracelet,Digital Large,2.31,2.41
,R0-L4AT-8D60,Toggle Bracelets,Toggle Bracelet,Pink Small,2.31,2.99
,T5-O6T5-NOGM,Toggle Bracelets,Toggle Bracelet,Army Green _ Coyote Large,2.31,2.99
,Z8-EJGL-BRT7,Toggle Bracelets,Toggle Bracelet,Black Small,2.31,2.99
,U5-O2CI-2CII,Toggle Bracelets,Buckle Bracelet,Black Medium,2.31,2.41
,Mario-Bundle-1,Surprise Eggs,Surprise Eggs,Mario Surprise Eggs,3.47,2.99
,Transformers-Bundle-1,Surprise Eggs,Surprise Eggs,Transformers Surprise Eggs,3.47,
,Cars-Bundle-1,Surprise Eggs,Surprise Eggs,Cars Surprise Eggs,3.47,2.99
,KV-OI7I-VUF4,Surprise Eggs,Surprise Eggs,Marvel Surprise Eggs,3.47,
,Minnie-Bundle-1,Surprise Eggs,Surprise Eggs,Minnie Surprise Eggs,3.47,
,8A-ZFQ7-L0WE,Surprise Eggs,Surprise Eggs,Spider Man Surprise Eggs,3.47,2.99
,Ant Guard Qty 3,Copper Ant Guards,Copper Ant Guard,Copper Ant Guard-Qty3,4.32,2.99
,Ant Guard Qty 2,Copper Ant Guards,Copper Ant Guard,Copper Ant Guard-Qty2,2.92,
,T2-IEKU-5Q7L,Buckle Bracelets,Buckle Bracelet,Black Large,2.31,
,9X-01CO-532Q,Buckle Bracelets,Buckle Bracelet,Army Green + Coyote Small,2.31,2.99
B015MFJ058,3C-6EO3-6BZM,Opti-Flood Flashlights,Opti-Flood Flashlight,Opti-Flood Flashlight,4.62,4.18
B0743MQB47,N9-GICI-YXL1,Zen Gardens,Zen Garden-002,RG002,5.17,4.18
B0743MXM6Z,L3-RWTL-UEM7,Zen Gardens,Zen Garden-003,RG003,5.17,4.18
B0743MW3XV,P2-SF21-RVIQ,Zen Gardens,Zen Garden-004,RG004,5.17,4.18
B0743N211Q,MM-F0H9-2ANM,Zen Gardens,Zen Garden-005,RG005,5.17,4.18
B015P5M1BU,UO-2TYK-LCO9,Mortars,Mortar,Black,3.63,2.99
,G5-QLBM-3GPQ,Mortars,Mortar,Digital Camo,3.63,2.99
,A9-2KKC-16SO,Buckle Bracelets,Buckle Bracelet,Digital Medium,2.31,2.99
